"PVWatts Hourly PV Performance Data"
"Requested Location","India"
"Solar Resource Data Location","NSRDB Lat/Lng: 28.65, 77.25"
"Latitude (degrees)", 28.65
"Longitude (degrees)", 77.25
"Elevation (m)","0"
"DC System Size (kW)","1"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","10.479","3","0.2","0","10.479","0","0"
"1","1","1","0","0","9.87","3","0.2","0","9.87","0","0"
"1","1","2","0","0","9.311","3","0.2","0","9.311","0","0"
"1","1","3","0","0","8.845","3","0.2","0","8.845","0","0"
"1","1","4","0","0","8.266","3","0.2","0","8.266","0","0"
"1","1","5","0","0","8.031","1","0.2","0","8.031","0","0"
"1","1","6","0","0","7.655","1","0.2","0","0","0","0"
"1","1","7","0","8","9.914","0","0.2","7.415","10.214","5.556","1.396"
"1","1","8","54","109","14.07","0","0.2","138.05","19.729","117.248","109.13"
"1","1","9","94","209","17.968","0","0.2","280.41","29.442","232.956","220.738"
"1","1","10","126","289","23.102","0","0.2","402.8","39.554","321.917","306.547"
"1","1","11","351","294","25.569","0","0.2","625.994","51.156","481.219","460.204"
"1","1","12","529","242","26.522","0","0.2","726.411","56.246","548.963","525.548"
"1","1","13","544","227","26.539","0","0.2","684.433","54.579","523.166","500.664"
"1","1","14","535","196","25.614","0","0.2","574.663","49.204","452.257","432.268"
"1","1","15","354","176","23.581","0","0.2","371.912","38.833","302.107","287.439"
"1","1","16","85","96","19.595","1","0.2","162.863","24.444","123.517","115.177"
"1","1","17","0","0","17.143","1","0.2","0","0","0","0"
"1","1","18","0","0","16.059","1","0.2","0","16.059","0","0"
"1","1","19","0","0","15.087","1","0.2","0","15.087","0","0"
"1","1","20","0","0","14.193","1","0.2","0","14.193","0","0"
"1","1","21","0","0","13.37","1","0.2","0","13.37","0","0"
"1","1","22","0","0","12.608","1","0.2","0","12.608","0","0"
"1","1","23","0","0","11.925","2","0.2","0","11.925","0","0"
"1","2","0","0","0","11.286","2","0.2","0","11.286","0","0"
"1","2","1","0","0","10.644","2","0.2","0","10.644","0","0"
"1","2","2","0","0","10.019","2","0.2","0","10.019","0","0"
"1","2","3","0","0","9.382","2","0.2","0","9.382","0","0"
"1","2","4","0","0","8.763","1","0.2","0","8.763","0","0"
"1","2","5","0","0","8.229","1","0.2","0","8.229","0","0"
"1","2","6","0","0","7.823","1","0.2","0","0","0","0"
"1","2","7","0","7","10.096","0","0.2","6.487","10.359","4.825","0.69"
"1","2","8","54","109","14.178","0","0.2","137.996","19.834","117.144","109.03"
"1","2","9","117","199","17.908","0","0.2","292.871","29.897","243.462","230.871"
"1","2","10","324","261","22.572","1","0.2","547.856","39.31","443.31","423.638"
"1","2","11","462","257","24.457","1","0.2","688.877","45.498","543.927","520.69"
"1","2","12","572","238","25.233","1","0.2","758.953","48.427","593.275","568.289"
"1","2","13","615","212","25.193","1","0.2","724.449","47.363","571.618","547.4"
"1","2","14","561","190","24.31","1","0.2","586.384","42.287","475.253","454.449"
"1","2","15","421","163","22.427","1","0.2","389.415","34.357","322.986","307.578"
"1","2","16","165","100","18.365","1","0.2","187.342","23.931","142.11","133.111"
"1","2","17","0","0","15.804","1","0.2","0","0","0","0"
"1","2","18","0","0","14.74","1","0.2","0","14.74","0","0"
"1","2","19","0","0","13.75","0","0.2","0","13.75","0","0"
"1","2","20","0","0","12.971","0","0.2","0","12.971","0","0"
"1","2","21","0","0","12.282","0","0.2","0","12.282","0","0"
"1","2","22","0","0","11.641","1","0.2","0","11.641","0","0"
"1","2","23","0","0","11.056","1","0.2","0","11.056","0","0"
"1","3","0","0","0","10.521","1","0.2","0","10.521","0","0"
"1","3","1","0","0","10.003","1","0.2","0","10.003","0","0"
"1","3","2","0","0","9.488","1","0.2","0","9.488","0","0"
"1","3","3","0","0","8.977","2","0.2","0","8.977","0","0"
"1","3","4","0","0","8.489","2","0.2","0","8.489","0","0"
"1","3","5","0","0","8.028","1","0.2","0","8.028","0","0"
"1","3","6","0","0","7.694","1","0.2","0","0","0","0"
"1","3","7","0","9","10.048","1","0.2","8.343","10.3","6.279","2.093"
"1","3","8","172","114","13.947","0","0.2","216.692","22.842","185.594","175.054"
"1","3","9","411","174","17.524","0","0.2","481.442","37.275","396.173","378.171"
"1","3","10","563","197","21.854","0","0.2","676.598","49.572","528.325","505.641"
"1","3","11","633","208","24.655","0","0.2","781.649","56.652","590.525","565.637"
"1","3","12","649","211","25.649","0","0.2","795.423","58.213","597.023","571.904"
"1","3","13","627","206","25.675","0","0.2","728.267","55.52","555.158","531.523"
"1","3","14","563","189","25.006","0","0.2","587.685","49.132","462.891","442.525"
"1","3","15","423","164","23.359","0","0.2","392.216","39.452","318.796","303.536"
"1","3","16","149","100","19.304","0","0.2","181.449","26.539","137.023","128.204"
"1","3","17","0","0","17.068","0","0.2","0","0","0","0"
"1","3","18","0","0","16.177","0","0.2","0","16.177","0","0"
"1","3","19","0","0","15.36","0","0.2","0","15.36","0","0"
"1","3","20","0","0","14.563","0","0.2","0","14.563","0","0"
"1","3","21","0","0","13.778","0","0.2","0","13.778","0","0"
"1","3","22","0","0","13.024","0","0.2","0","13.024","0","0"
"1","3","23","0","0","12.328","0","0.2","0","12.328","0","0"
"1","4","0","0","0","11.695","0","0.2","0","11.695","0","0"
"1","4","1","0","0","11.066","0","0.2","0","11.066","0","0"
"1","4","2","0","0","10.473","0","0.2","0","10.473","0","0"
"1","4","3","0","0","9.898","0","0.2","0","9.898","0","0"
"1","4","4","0","0","9.326","0","0.2","0","9.326","0","0"
"1","4","5","0","0","8.766","0","0.2","0","8.766","0","0"
"1","4","6","0","0","8.328","0","0.2","0","0","0","0"
"1","4","7","0","9","10.546","0","0.2","8.343","10.884","6.259","2.073"
"1","4","8","169","113","14.444","0","0.2","207.248","22.951","177.203","166.961"
"1","4","9","287","187","18.332","0","0.2","402.927","34.85","332.844","317.087"
"1","4","10","465","221","22.899","1","0.2","624.826","42.004","502.287","480.525"
"1","4","11","598","222","24.539","1","0.2","767.522","47.997","601.171","575.906"
"1","4","12","649","213","25.173","1","0.2","798.32","49.578","621.66","595.669"
"1","4","13","619","210","25.018","1","0.2","727.287","47.273","573.978","549.676"
"1","4","14","565","189","24.279","0","0.2","590.06","48.502","465.968","445.493"
"1","4","15","425","164","22.544","0","0.2","393.858","38.706","321.294","305.946"
"1","4","16","198","99","18.575","0","0.2","191.867","26.219","145.018","135.916"
"1","4","17","0","0","16.359","1","0.2","0","0","0","0"
"1","4","18","0","0","15.428","1","0.2","0","15.428","0","0"
"1","4","19","0","0","14.531","1","0.2","0","14.531","0","0"
"1","4","20","0","0","13.711","1","0.2","0","13.711","0","0"
"1","4","21","0","0","12.977","1","0.2","0","12.977","0","0"
"1","4","22","0","0","12.28","1","0.2","0","12.28","0","0"
"1","4","23","0","0","11.611","1","0.2","0","11.611","0","0"
"1","5","0","0","0","11","0","0.2","0","11","0","0"
"1","5","1","0","0","10.415","0","0.2","0","10.415","0","0"
"1","5","2","0","0","9.877","0","0.2","0","9.877","0","0"
"1","5","3","0","0","9.319","0","0.2","0","9.319","0","0"
"1","5","4","0","0","8.751","0","0.2","0","8.751","0","0"
"1","5","5","0","0","8.228","0","0.2","0","8.228","0","0"
"1","5","6","0","0","7.827","0","0.2","0","0","0","0"
"1","5","7","0","6","10.152","0","0.2","5.56","10.378","4.099","0"
"1","5","8","249","109","14.15","0","0.2","249.932","24.416","214.188","202.635"
