timestamp,solar_irradiance,ambient_temperature,module_temperature,humidity,cloud_cover,wind_speed,wind_direction,pv_power,wind_power,total_power
2019-01-01 00:00:00,0.0,10.48,10.48,61.6,20.0,3,63.5,0.0,0.01,0.01
2019-01-01 01:00:00,0.0,9.87,9.87,62.1,20.0,3,57.2,0.0,0.016,0.016
2019-01-01 02:00:00,0.0,9.31,9.31,62.6,20.0,3,65.0,0.0,0.023,0.023
2019-01-01 03:00:00,0.0,8.85,8.85,62.9,20.0,3,73.8,0.0,0.007,0.007
2019-01-01 04:00:00,0.0,8.27,8.27,63.4,20.0,3,56.2,0.0,0.0,0.0
2019-01-01 05:00:00,0.0,8.03,8.03,63.6,20.0,1,56.2,0.0,0.0,0.0
2019-01-01 06:00:00,0.0,7.66,7.66,63.9,20.0,1,74.3,0.0,0.0,0.0
2019-01-01 07:00:00,7.42,9.91,10.21,62.1,20.0,0,66.2,0.0014,0.006,0.0074
2019-01-01 08:00:00,138.05,14.07,19.73,58.7,66.9,0,53.9,0.1091,0.023,0.1321
2019-01-01 09:00:00,280.41,17.97,29.44,55.6,69.0,0,64.0,0.2207,0.043,0.2637
2019-01-01 10:00:00,402.8,23.1,39.55,51.5,69.6,0,53.9,0.3065,0.059,0.3655
2019-01-01 11:00:00,625.99,25.57,51.16,49.5,45.6,0,53.9,0.4602,0.076,0.5362
2019-01-01 12:00:00,726.41,26.52,56.25,48.8,31.4,0,61.0,0.5255,0.076,0.6015
2019-01-01 13:00:00,684.43,26.54,54.58,48.8,29.4,0,39.4,0.5007,0.052,0.5527
2019-01-01 14:00:00,574.66,25.61,49.2,49.5,26.8,0,41.3,0.4323,0.024,0.4563
2019-01-01 15:00:00,371.91,23.58,38.83,51.1,33.2,0,52.9,0.2874,0.005,0.2924
2019-01-01 16:00:00,162.86,19.6,24.44,54.3,53.0,1,48.4,0.1152,0.001,0.1162
2019-01-01 17:00:00,0.0,17.14,17.14,56.3,20.0,1,61.7,0.0,0.002,0.002
